ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
07303-3800-1.zip,202502070959,伊達郡国見町大字小坂字三本沢一,道-1,,
07303-3800-1.zip,202502070959,伊達郡国見町大字小坂字三本沢一,水-1,,
07303-3800-1.zip,202502070959,伊達郡国見町大字小坂字三本沢一,水-2,,
07303-3800-1.zip,202502070959,伊達郡国見町大字小坂字三本沢一,長狭物不明-1,,
07303-3800-1.zip,202502070959,伊達郡国見町大字小坂字袖林,9-2,,
07303-3800-1.zip,202502070959,伊達郡国見町大字小坂字袖林,10-2,,
07303-3800-1.zip,202502070959,伊達郡国見町大字小坂字中切,21,,
07303-3800-1.zip,202502070959,伊達郡国見町大字小坂字畑ホコ一,水-1,,
07303-3800-1.zip,202502070959,伊達郡国見町大字小坂字羽山堂,道-14,,
07303-3800-1.zip,202502070959,伊達郡国見町大字小坂字羽山堂,道-15,,
07303-3800-1.zip,202502070959,伊達郡国見町大字小坂字古内,道-1,,
07303-3800-1.zip,202502070959,伊達郡国見町大字小坂字古内,水-1,,
07303-3800-1.zip,202502070959,伊達郡国見町大字小坂字古内,水-514015,,
07303-3800-1.zip,202502070959,伊達郡国見町大字小坂字古内,水-514016,,
07303-3800-1.zip,202502070959,伊達郡国見町大字小坂字古内,長狭物不明-3,,
07303-3800-1.zip,202502070959,伊達郡国見町大字小坂字古内,長狭物不明-4,,
07303-3800-1.zip,202502070959,伊達郡国見町大字小坂字古内,長狭物不明-5,,
07303-3800-2.zip,202502070959,伊達郡国見町大字小坂字前滝二,道-1,,
07303-3800-2.zip,202502070959,伊達郡国見町大字小坂字前滝二,水-1,,
07303-3800-2.zip,202502070959,伊達郡国見町大字小坂字ミツヤ,16-2,,
07303-3800-2.zip,202502070959,伊達郡国見町大字小坂字ミツヤ,21-2,,
07303-3800-2.zip,202502070959,伊達郡国見町大字小坂字ミツヤ,21-3,,
07303-3800-2.zip,202502070959,伊達郡国見町大字小坂字ミツヤ,道-2,,
07303-3800-2.zip,202502070959,伊達郡国見町大字小坂字ミツヤ,道-3,,
07303-3800-2.zip,202502070959,伊達郡国見町大字小坂字ミツヤ,道-29,,
07303-3800-2.zip,202502070959,伊達郡国見町大字小坂字ミツヤ,水-2,,
07303-3800-2.zip,202502070959,伊達郡国見町大字小坂字ミツヤ,水-3,,
07303-3800-2.zip,202502070959,伊達郡国見町大字小坂字ミツヤ,水-5,,
07303-3800-2.zip,202502070959,伊達郡国見町大字小坂字ミツヤ,水-11,,
07303-3800-2.zip,202502070959,伊達郡国見町大字小坂字ミツヤ,水-14,,
07303-3800-2.zip,202502070959,伊達郡国見町大字小坂字ミツヤ,長狭物不明-1,,
07303-3800-2.zip,202502070959,伊達郡国見町大字小坂字ムチナ石,道-5,,
07303-3800-2.zip,202502070959,伊達郡国見町大字小坂字ムチナ石,水-17,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字板橋,道-2,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字板橋,道-511310,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字板橋,水-1,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字板橋,水-511317,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字板橋,水-511318,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字板橋,長狭物不明-1,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字板橋,長狭物不明-27,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字小畑,道-1,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字小畑,道-2,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字小畑,道-3,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字小畑,道-4,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字小畑,水-1,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字小畑,水-2,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字小畑,長狭物不明-1,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字小畑,長狭物不明-2,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字柿木下,道-5,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字柿木下,水-3,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字柿木下,水-4,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字柿木下,水-11,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字柿木下,長狭物不明-5,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字カニ坂,無地番-1,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字カニ坂,無地番-14,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字カニ坂,無地番-15,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字カニ坂,無地番-16,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字カニ坂,無地番-17,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字カニ坂,道-1,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字カニ坂,道-511311,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字カニ坂,道-511312,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字カニ坂,水-1,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字カニ坂,水-511348,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字カニ坂,水-511349,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字カニ坂,水-511350,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字カニ坂,長狭物不明-1,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字カニ坂,長狭物不明-14,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字カニ坂,長狭物不明-15,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字カニ坂,長狭物不明-16,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字鹿野山,8,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字上川原,1-1,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字上前田,道-1,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字上前田,道-2,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字上前田,道-511302,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字上前田,水-511313,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字上前田,水-511314,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字上前田,水-511316,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字上前田,長狭物不明-7,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字上前田,長狭物不明-8,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字上前田,長狭物不明-9,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字上前田,長狭物不明-11,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字北畠,道-1,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字北畠,水-1,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字北畠,水-511328,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字北畠,水-511329,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字北畠,水-511330,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字北畠,水-511331,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字北町裏,水-1,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字北町裏,水-511333,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字北町裏,水-511334,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字北町裏,水-511335,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字木八丁,道-1,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字木八丁,水-511324,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字木八丁,水-511325,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字小地獄山,道-1,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字小地獄山,水-1,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字小地獄山,長狭物不明-1,,
07303-3800-3.zip,202502070959,伊達郡国見町大字小坂字小地獄山,長狭物不明-25,,
07303-3800-3.zip,202502070959,伊達郡国見町,地区外-1139081,,
07303-3800-3.zip,202502070959,伊達郡国見町,地区外-1139083,,
07303-3800-4.zip,202502070959,伊達郡国見町大字徳江字番頭,11,,
07303-3800-4.zip,202502070959,伊達郡国見町大字徳江字八景ノ下,1-1,,
07303-3800-4.zip,202502070959,伊達郡国見町大字徳江字八景ノ下,1-2,,
07303-3800-4.zip,202502070959,伊達郡国見町大字徳江字八景ノ下,3-3,,
07303-3800-4.zip,202502070959,伊達郡国見町大字徳江字八景ノ下,4-3,,
07303-3800-4.zip,202502070959,伊達郡国見町大字徳江字八景ノ下,2-2,,
07303-3800-5.zip,202502070959,伊達郡国見町大字内谷字大橋,道-2,,
07303-3800-5.zip,202502070959,伊達郡国見町大字内谷字大橋,水-6,,
07303-3800-5.zip,202502070959,伊達郡国見町大字内谷字大橋,水-7,,
07303-3800-5.zip,202502070959,伊達郡国見町大字内谷字蟹沢,無地番-13,,
07303-3800-5.zip,202502070959,伊達郡国見町大字内谷字蟹沢,無地番-14,,
07303-3800-5.zip,202502070959,伊達郡国見町大字内谷字蟹沢,無地番-16,,
07303-3800-5.zip,202502070959,伊達郡国見町大字内谷字蟹沢,無地番-17,,
07303-3800-5.zip,202502070959,伊達郡国見町大字内谷字蟹沢,水-12,,
07303-3800-5.zip,202502070959,伊達郡国見町大字内谷字蟹沢,水-13,,
07303-3800-5.zip,202502070959,伊達郡国見町大字内谷字蟹沢,水-19,,
07303-3800-5.zip,202502070959,伊達郡国見町大字内谷字蟹沢,長狭物不明-14,,
07303-3800-5.zip,202502070959,伊達郡国見町大字内谷字五斗蒔,長狭物不明-34,,
07303-3800-5.zip,202502070959,伊達郡国見町大字内谷字五斗蒔,長狭物不明-36,,
07303-3800-5.zip,202502070959,伊達郡国見町大字内谷字小山崎,道-4,,
07303-3800-5.zip,202502070959,伊達郡国見町大字内谷字小山崎,道-5,,
07303-3800-5.zip,202502070959,伊達郡国見町大字内谷字小山崎,水-8,,
07303-3800-5.zip,202502070959,伊達郡国見町大字内谷字小山崎,長狭物不明-8,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字舘,水-2,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字舘,水-3,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字舘,水-4,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字舘,長狭物不明-6,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字舘,長狭物不明-7,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字舘,長狭物不明-8,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字舘,長狭物不明-10,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字舘前,4,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字舘前,道-1,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字舘前,道-2,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字舘前,水-5,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字舘前,水-6,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字舘前,水-61,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字舘前,長狭物不明-11,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字西,長狭物不明-31,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字西前,道-4,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字西前,道-5,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字西前,道-6,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字西前,水-17,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字西前,水-18,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字西前,水-19,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字西前,水-20,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字西前,水-21,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字西前,水-25,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字西前,長狭物不明-33,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字西前,長狭物不明-34,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字西前,長狭物不明-35,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字西脇,水-22,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字西脇,水-23,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字西脇,長狭物不明-36,,
07303-3800-6.zip,202502070959,伊達郡国見町大字内谷字西脇,長狭物不明-37,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,1-1,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,1-2,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,2-1,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,2-2,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,3-1,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,3-2,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,5,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,6,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,7-1,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,7-2,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,8,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,10,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,11,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,12,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,13,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,14-1,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,14-2,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,15,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,16,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,17,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,18,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,19,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,20,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,21,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,22,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,23,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,24,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,25,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,26,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,27,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,28,,
07303-3800-7.zip,202502070959,伊達郡国見町大字山崎字大橋,29,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,10,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,13,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,14,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,15-1,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,15-2,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,16,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,17,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,18,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,19,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,20,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,21,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,24-1,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,24-2,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,25,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,30,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,31-1,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,31-2,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,32,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,33,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,34,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,35,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,36,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,37,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,38,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,39,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,40,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,41,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,42,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,43,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,44,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,45,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,46,,
07303-3800-7.zip,202502070959,伊達郡国見町大字石母田字今井戸前,47,,
