ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
07309-3800-1.zip,202502070959,伊達郡飯野町,地区外-9556569,,
07309-3800-1.zip,202502070959,伊達郡飯野町,地区外-9556684,,
07309-3800-1.zip,202502070959,伊達郡飯野町,地区外-9556685,,
07309-3800-1.zip,202502070959,伊達郡飯野町,地区外-9556570,,
07309-3800-1.zip,202502070959,伊達郡飯野町,地区外-9556686,,
07309-3800-1.zip,202502070959,伊達郡飯野町,地区外-9556687,,
07309-3800-1.zip,202502070959,伊達郡飯野町,地区外-9556688,,
07309-3800-1.zip,202502070959,伊達郡飯野町,地区外-9556689,,
07309-3800-1.zip,202502070959,伊達郡飯野町,地区外-9556690,,
07309-3800-1.zip,202502070959,伊達郡飯野町,地区外-9556691,,
07309-3800-1.zip,202502070959,伊達郡飯野町,地区外-9556692,,
07309-3800-1.zip,202502070959,伊達郡飯野町,地区外-9556693,,
07309-3800-1.zip,202502070959,伊達郡飯野町,地区外-9556571,,
07309-3800-1.zip,202502070959,伊達郡飯野町,地区外-9556694,,
07309-3800-1.zip,202502070959,伊達郡飯野町,地区外-9556695,,
07309-3800-1.zip,202502070959,伊達郡飯野町,地区外-9556696,,
07309-3800-1.zip,202502070959,伊達郡飯野町,地区外-9556697,,
07309-3800-1.zip,202502070959,伊達郡飯野町,地区外-9556698,,
07309-3800-1.zip,202502070959,伊達郡飯野町,地区外-9556699,,
07309-3800-1.zip,202502070959,伊達郡飯野町,地区外-9556700,,
07309-3800-1.zip,202502070959,伊達郡飯野町,地区外-9556701,,
07309-3800-1.zip,202502070959,伊達郡飯野町,地区外-9556702,,
07309-3800-1.zip,202502070959,伊達郡飯野町,地区外-9556703,,
07309-3800-1.zip,202502070959,伊達郡飯野町,地区外-9556704,,
07309-3800-1.zip,202502070959,伊達郡飯野町,地区外-9556572,,
07309-3800-1.zip,202502070959,伊達郡飯野町,地区外-9556705,,
