ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
07542-3842-1.zip,202502071358,双葉郡楢葉町大字上繁岡字中原,124,,
07542-3842-1.zip,202502071358,双葉郡楢葉町大字上繁岡字二枚橋,93,,
07542-3842-2.zip,202502071358,双葉郡楢葉町大字波倉字浜田,38,,
07542-3842-3.zip,202502071358,双葉郡楢葉町大字波倉字小浜作,23,,
07542-3842-4.zip,202502071358,双葉郡楢葉町大字下小塙字サイカチ,2,,
07542-3842-4.zip,202502071358,双葉郡楢葉町大字下小塙字サイカチ,3,,
07542-3842-4.zip,202502071358,双葉郡楢葉町,地区外-705101,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字岩下,2-1,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字岩下,2-2,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字岩下,3,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字岩下,4-1,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字岩下,4-2,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字岩下,5,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字岩下,6,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字岩下,7,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字岩下,8,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字岩下,9,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字岩下,10,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字岩下,11,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字岩下,12,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字岩下,13,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,1,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,2,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,3,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,4,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,5,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,6,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,7,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,8,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,9,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,10,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,11,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,12,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,13,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,14,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,15,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,16-1,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,16-2,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,16-3,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,16-4,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,16-5,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,17-1,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,17-2,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,17-3,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,17-4,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,17-5,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,19-1,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,19-2,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,20-1,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,20-2,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,21,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,22,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,23,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,24-1,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,24-2,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,25,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,26,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,27,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,28,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,29,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,30,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,31,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,32,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,33-1,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,33-2,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,34,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,35,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,36,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,37,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,38,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,39,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,40,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,41,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,42,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,43,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,44,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,45,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,46,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,47,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,48,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,49,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字江添,50,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,33-1,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,33-2,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,34-1,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,34-2,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,36-1,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,36-2,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,36-3,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,36-4,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,36-5,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,37-2,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,37-4,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,38-2,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,40-3,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,40-4,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,77-1,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,77-2,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,78-1,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,78-2,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,79-1,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,79-2,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,79-3,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,80-1,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,80-2,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,81,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,82,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,83,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,84,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,85,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,86,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,87,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,88,,
07542-3842-5.zip,202502071358,双葉郡楢葉町大字上小塙字小山,89,,
