ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
07561-3801-1.zip,202502071035,相馬郡新地町駒ケ嶺字今神,129W1,,
07561-3801-1.zip,202502071035,相馬郡新地町駒ケ嶺字今神,129W2,,
07561-3801-1.zip,202502071035,相馬郡新地町駒ケ嶺字今神,129W3,,
07561-3801-1.zip,202502071035,相馬郡新地町駒ケ嶺字今神,129W4,,
07561-3801-1.zip,202502071035,相馬郡新地町駒ケ嶺字今神,道-2,,
07561-3801-1.zip,202502071035,相馬郡新地町駒ケ嶺字今神,長狭物不明-3,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字榎下,1,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字榎下,2,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字榎下,3-1,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字榎下,3-2,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字榎下,4,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字榎下,5,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字榎下,6,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字榎下,7,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字榎下,8,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字榎下,9,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字貝塚,24,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字貝塚,25,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字貝塚,26,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字貝塚,27,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字貝塚,28,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字貝塚,29,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字貝塚,30,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字貝塚,31-1,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字貝塚,31-2,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字貝塚,32,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字貝塚,33-1,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字貝塚,33-2,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字貝塚,34-1,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字貝塚,34-2,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字貝塚,35,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字貝塚,36,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字貝塚,37,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字貝塚,38,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字貝塚,39,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字貝塚,40,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字貝塚,41,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字北原,27-1,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字北原,27-2,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字北原,39,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字北原,40,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字北原,85,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字北原,87-1,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字北原,87-2,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字北原,88-1,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字北原,88-2,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字北原,89-1,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字北原,89-2,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字北原,145,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字北原,146,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字北原,147,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字北原,148,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字北原,149,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字北原,150,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字清水小路,72-1,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字清水小路,73,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字清水小路,74,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字清水小路,75,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字清水小路,76,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字清水小路,77,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字清水小路,78,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字清水小路,79,,
07561-3801-2.zip,202502071035,相馬郡新地町小川字清水小路,80,,
